SITE,SNCSadj,SUBAREA,CHAN,UNIT,CHANWID,uparea,elev,grad,discharge,width,depth,sinu,val_width,fp_width,flowvel,bf_flow,strmpow,vwi,valcnstrnt,gp_warm,gp_cool,gp_avg,rsf,count1k,count5k,count10k,sub1k,sub5k,sub10k,SUBCAT,TR,ME,BA,BK
MM167,68,220,main,pool,32,3501.45,173,0,0.51,2.79,1.38,1.02,757.38,755.91,0.82,3.2,3.14,270.85,270.81,5.64,4.01,4.82,0.34,2,10,17,409,5360.85,7466.54,LARGE,0,0,0,0
MM173,23,30.6,secondary,riffle,25.2,3502.38,169,0,0.52,2.82,1.38,1.02,359.82,312.17,0.83,3.24,3.17,127.51,110.77,5.64,4.01,4.82,0.27,2,11,22,289,5649.79,11191.75,SMALL,0,0,1,0
MM175,1,34,main,riffle,39,3509.63,167.6,0,0.54,2.86,1.38,1,445.35,244.11,0.83,3.31,3.24,155.49,85.23,5.72,4.02,4.87,0.38,4,9,22,1181.3,5240.79,11465.34,SMALL,0,0,1,0
MM184,0,18,main,riffle,33,3584.34,163.11,0,0.52,2.8,1.39,1.05,695.03,140.7,0.83,3.25,3.18,247.52,50.12,5.7,4.05,4.87,0.16,1,8,18,18,4680.2,10093.09,SMALL,0,0,1,0
MM185,2,360,main,pool,31.5,3584.83,162.06,0,0.53,2.84,1.39,1.18,1504.26,1140.03,0.83,3.3,3.24,528.78,402.24,5.7,4.05,4.87,0.18,1,11,16,360,5253.2,7262.5,LARGE,1,0,1,0
MM186,1,585,main,pool,49,3652.41,157.76,0,0.52,2.82,1.39,1.01,430.32,52.45,0.83,3.29,3.23,152.41,18.58,5.69,4.03,4.86,0.38,1,7,13,585,1936,5523.2,LARGE,1,1,0,1
MM192,13,140,main,pool,36.5,3722.77,148.35,0,0.52,2.81,1.4,1.03,165.58,38.09,0.83,3.31,3.24,58.75,13.49,5.32,3.78,4.55,0.45,1,5,5,140,824.2,824.2,MEDIUM,1,1,0,1
SF1,0,36,main,pool,9.8,329.11,245.05,1.00E-03,0.33,2.25,0.7,1.02,108.59,61.65,0.6,0.97,9.52,48.2,27.36,3.98,2.74,3.36,0.02,2,7,14,132,531.5,1627.59,SMALL,1,1,0,0
SF2,0,96,main,pool,10.2,329.15,244.65,0,0.33,2.25,0.7,1.08,226.89,70.37,0.6,0.97,0.95,100.72,31.24,3.98,2.74,3.36,0.02,2,7,14,132,531.5,1627.59,MEDIUM,1,1,0,0
SF3,0,49.5,main,pool,16.3,470.39,242.6,0,0.35,2.33,0.78,1.08,97.2,64.02,0.63,1.17,1.14,41.63,27.42,4.99,3.45,4.22,0.03,2,9,14,169.5,793.7,1627.59,SMALL,1,1,0,0
SF4,19,120,main,run,16.7,470.42,242.46,0,0.35,2.33,0.78,1.03,112.95,71.06,0.63,1.16,1.14,48.41,30.46,4.99,3.45,4.22,0.03,3,10,14,209.5,890.59,1627.59,MEDIUM,1,0,0,0
SF5,0,40,main,pool,14.8,470.51,241.17,6.00E-03,0.36,2.34,0.78,1.1,852.16,274.9,1.56,2.88,169.47,363.45,117.27,4.99,3.45,4.22,0.03,2,13,15,160,1561.09,1717.59,SMALL,1,0,1,0
SF6,1,133,main,pool,11.2,471.51,240.2,3.00E-03,0.35,2.33,0.78,1.21,201.08,66.39,1.1,2.02,59.63,86.15,28.44,4.99,3.45,4.22,0.02,2,13,15,190,1561.09,1717.59,MEDIUM,1,1,0,0
SF7,0,57,main,pool,12,472.8,238.87,0,0.36,2.33,0.78,1.11,515.39,71.45,0.63,1.17,1.15,220.66,30.54,4.99,3.45,4.22,0.02,2,13,16,190,1561.09,1766.05,MEDIUM,1,0,0,0
SF8,0,167.2,main,pool,15.2,486.36,234.51,8.00E-03,0.36,2.34,0.79,1.02,510.86,280.17,1.81,3.37,264.18,218,119.8,4.65,3.2,3.93,0.02,3,12,17,359.1,1495.59,1910.05,LARGE,1,0,0,0
SF9,7,95,main,pool,22.3,487.94,234.34,0,0.35,2.32,0.79,1.22,526.12,445.22,0.64,1.17,1.15,226.53,191.9,4.65,3.2,3.93,0.03,5,12,17,889.2,1495.59,1910.05,MEDIUM,1,1,0,0
