SITE,SNCSadj,SUBAREA,CHAN,UNIT,CHANWID,uparea,elev,grad,discharge,width,depth,sinu,val_width,fp_width,flowvel,bf_flow,strmpow,vwi,valcnstrnt,gp_warm,gp_cool,gp_avg,rsf,count1k,count5k,count10k,sub1k,sub5k,sub10k,SUBCAT,TR,ME,BA,BK
UM53,12,55.2,main,run,17.2,890.96,256.04,0.01,0.37,2.39,0.93,1.04,585.21,477.19,2.18,4.9,481.12,244.22,199.6,4.9,3.4,4.15,0.03,4,45,94,163.64,4299.95,20866.71,MEDIUM,1,0,0,1
UM55,1,135,secondary,pool,18.9,892.87,253.1,6.00E-03,0.38,2.41,0.93,1.01,677.07,627.71,1.69,3.84,225.83,280.57,260.8,4.9,3.4,4.15,0.04,10,50,96,794.59,4856.32,21494.31,MEDIUM,0,0,0,0
UM56,37,116,main,riffle,16,892.92,252.3,3.00E-03,0.39,2.44,0.93,1.02,607.72,571.09,1.2,2.76,81.24,248.47,233.46,4.9,3.4,4.15,0.04,15,50,95,1554.59,4856.32,21851.21,MEDIUM,1,0,0,1
UM58,158,145.6,main,run,21.3,892.94,250,0.02,0.38,2.41,0.93,1.06,849.02,811.25,3.31,7.51,1693.3,352.1,336.08,4.9,3.4,4.15,0.02,16,50,95,1560.59,4856.32,21851.21,MEDIUM,0,1,0,0
UM60,39,64,main,pool,22.2,893.05,249.9,1.00E-03,0.39,2.43,0.93,1.01,245.45,217.24,0.69,1.58,15.54,100.77,89.28,4.9,3.4,4.15,0.04,17,49,97,1599.59,4781.25,22009.27,MEDIUM,1,0,0,0
UM68,21,220.5,main,run,17.3,893.23,248.88,2.00E-03,0.37,2.39,0.93,1.05,258.16,224.37,0.97,2.19,43.1,107.69,93.56,4.9,3.4,4.15,0.04,19,48,100,1969.51,4490.82,22351.77,LARGE,0,1,1,0
UM70,2,6,main,glide,19.3,893.25,248.32,0,0.39,2.44,0.93,1.02,228.46,167.95,0.69,1.59,1.56,93.29,68.56,4.9,3.4,4.15,0.05,18,47,100,1853.51,4080.42,22351.77,SMALL,0,0,0,0
UM73,40,289,main,glide,16.9,893.34,248.47,2.00E-03,0.38,2.42,0.93,1.03,579.71,311.49,0.97,2.23,43.79,238.85,128.33,4.9,3.4,4.15,0.05,14,48,100,1376.87,4105.38,22351.77,LARGE,1,0,0,0
UM74,120,156,main,riffle,18.9,893.36,247.7,5.00E-03,0.38,2.41,0.93,1.01,265.84,232.75,1.54,3.5,171.86,110.13,96.44,4.9,3.4,4.15,0.04,14,48,100,1376.87,4105.38,22351.77,LARGE,0,0,1,0
UM78,158,182.4,secondary,riffle,34,893.57,245.09,4.00E-03,0.38,2.42,0.93,1,441.73,374.12,1.38,3.15,123.75,182.14,154.6,4.9,3.4,4.15,0.06,9,50,99,691.54,4281.01,22234.45,LARGE,0,0,1,0
UM79,123,274.87,main,pool,11.1,893.84,244.07,4.00E-03,0.38,2.4,0.93,1.04,139.78,126.17,1.38,3.13,122.75,58,52.32,4.9,3.4,4.15,0.04,9,48,96,1010.92,4183.29,22099.99,LARGE,1,1,0,1
UM82,87,48.45,main,glide,14.9,893.84,244.07,4.00E-03,0.38,2.4,0.93,1.04,139.78,126.17,1.38,3.13,122.75,58,52.32,4.9,3.4,4.15,0.04,8,48,87,926.92,4183.29,11181.44,SMALL,1,0,1,0
LM1,0,57.8,main,pool,45.7,3726.57,151.06,1.00E-03,0.53,2.84,1.4,1.01,1313.38,194.41,0.83,3.34,32.81,462.45,68.25,5.32,3.78,4.55,0.07,2,3,7,414.19,554.2,1135.19,MEDIUM,1,1,0,1
LM2,56,356.4,main,pool,42,3726.88,144.21,0,0.51,2.79,1.4,1.05,121.86,54.21,0.83,3.28,3.21,43.54,19.36,5.32,3.78,4.55,0.11,2,3,7,414.19,554.2,1135.19,LARGE,1,1,0,1
LM4,0,35,main,pool,45,3788.41,142.57,0,0.52,2.83,1.41,1.05,68.11,40.89,0.83,3.35,3.28,24.06,14.44,5.84,4.1,4.97,0.23,2,2,4,311,311,725.2,SMALL,1,1,0,0
LM5,0,17.5,main,pool,43,3863.26,138.17,0,0.51,2.78,1.42,1.09,120.81,37.86,0.83,3.3,3.23,43.4,13.61,5.84,4.09,4.96,0.47,3,5,5,191.19,355.2,355.2,SMALL,1,1,0,1
LM6,0,51.3,main,pool,51,3863.26,138.17,0,0.51,2.77,1.42,1.06,72.89,24.1,0.83,3.29,3.23,26.22,8.66,5.84,4.09,4.96,0.47,3,5,5,191.19,355.2,355.2,MEDIUM,1,1,0,1
LM7,0,122.4,main,pool,42,3863.26,138.17,0,0.51,2.77,1.42,1.06,72.89,24.1,0.83,3.29,3.23,26.22,8.66,5.84,4.09,4.96,0.47,3,5,5,191.19,355.2,355.2,MEDIUM,1,1,0,1
LM8,0,68,main,riffle,41,3864.66,136.81,0,0.51,2.79,1.42,1.02,63.99,36.82,0.83,3.32,3.26,22.87,13.16,5.84,4.09,4.96,0.37,1,5,6,68,355.2,538.95,MEDIUM,1,0,0,1
LM9,0,96,main,pool,35,3865.5,136.8,0,0.52,2.8,1.42,1.02,104.81,53.93,0.83,3.34,3.28,37.29,19.22,5.84,4.09,4.96,0.35,1,5,6,96,355.2,538.95,MEDIUM,1,1,0,0
LM10,0,183.75,main,riffle,72,5045.25,133.89,0,0.54,2.86,1.53,1,1269.9,79.52,0.86,3.79,3.72,442.57,27.74,6.18,4.32,5.25,0,1,1,6,183.75,183.75,1208.75,LARGE,0,0,1,0
LM11,0,231,main,run,35,5082.09,133.71,0,0.53,2.84,1.53,1,783.01,180.45,0.86,3.76,3.68,275.67,63.33,6.09,4.27,5.18,0,1,3,7,231,861,1274.34,LARGE,1,0,1,0
LM12,0,135,main,pool,47.5,5083.31,132.98,0,0.51,2.79,1.53,1,708.67,77.03,0.85,3.68,3.61,253.17,27.48,6.09,4.27,5.18,0,1,3,7,135,861,1274.34,MEDIUM,0,0,0,0
LM13,0,495,main,pool,39.6,5083.93,132.62,0,0.52,2.82,1.53,1.01,698.41,93.07,0.86,3.74,3.66,246.91,32.9,6.09,4.27,5.18,0,1,3,7,495,861,1274.34,LARGE,0,0,1,0
LM14,0,12.6,main,pool,25.9,5091.81,131.21,0,0.52,2.82,1.53,1.01,660.54,125.13,0.86,3.73,3.66,233.72,44.43,6.48,4.51,5.5,0,3,3,6,229.6,229.6,1090.59,SMALL,0,0,1,0
LM15,0,161,main,pool,42.5,5091.81,131.21,0,0.52,2.82,1.53,1.01,660.54,125.13,0.86,3.73,3.66,233.72,44.43,6.48,4.51,5.5,0,2,3,6,173.6,229.6,1090.59,LARGE,0,0,1,0
LM16,0,56,main,pool,49.5,5092.81,131.21,0,0.54,2.86,1.53,1,635.53,54.07,0.86,3.81,3.73,221.53,18.84,6.48,4.51,5.5,0,2,3,6,68.59,229.6,1090.59,MEDIUM,0,0,0,0
MF07,0,133.1,main,riffle,17.7,497.36,381.43,0,0.39,2.43,0.79,1.03,749.79,517.84,0.65,1.25,1.23,308.52,212.51,0,0,0,0.01,4,15,30,256.55,1019.45,2356.89,MEDIUM,0,0,1,0
MF09,1,24.75,main,riffle,14,497.36,381.43,0,0.39,2.43,0.79,1.03,749.79,517.84,0.65,1.25,1.23,308.52,212.51,0,0,0,0.01,4,15,30,256.55,1019.45,2356.89,SMALL,1,0,0,1
MF14,0,39.6,main,run,12,505.05,373.17,0,0.38,2.4,0.79,1.04,297.48,152.57,0.64,1.25,1.22,123.69,63.44,0,0,0,0.03,8,19,32,619.59,1855.25,2544.64,SMALL,1,0,0,1
MF19,7,5,main,riffle,16,513.6,366.4,0,0.39,2.43,0.8,1.02,510.07,504.75,0.65,1.27,1.25,209.66,206.56,0,0,0,0.03,3,20,33,92.09,1838.8,2595.05,SMALL,0,0,1,0
MF23,5,246,main,pool,15,615.87,361.94,1.00E-03,0.39,2.43,0.84,1.03,507.49,267.53,0.66,1.37,13.44,208.5,109.69,0,0,0,0.03,6,21,34,974.09,1876.8,2636.85,LARGE,0,1,0,0
MF24,0,540,main,pool,17,617.92,361.52,1.00E-03,0.39,2.45,0.84,1.03,219.37,200.2,0.66,1.38,13.59,89.4,81.97,0,0,0,0.04,4,21,34,887,1876.8,2636.85,LARGE,0,1,1,0
MF25,0,26,main,riffle,13.1,617.93,361.01,5.00E-03,0.4,2.48,0.84,1,246.65,235.85,1.49,3.15,154.77,99.11,94.7,0,0,0,0.03,4,22,34,887,1966.8,2636.85,SMALL,1,0,0,0
MF28,4,6.4,main,riffle,24.3,621.26,356.17,0,0.39,2.45,0.84,1.01,278.63,261.37,0.66,1.38,1.36,113.63,106.54,0,0,0,0.04,3,20,35,91.9,1762.69,3083.3,SMALL,0,0,1,0
MF34,0,38.5,secondary,riffle,18.2,642.55,348.05,0,0.4,2.46,0.85,1.11,559.63,382.01,0.67,1.41,1.38,227.03,154.75,3.35,2.34,2.85,0.03,4,12,37,268,638.29,3709.8,SMALL,1,0,0,0
MF35,0,52.8,main,riffle,13.6,642.59,347.16,0.01,0.39,2.43,0.85,1.17,402.34,230.16,2.22,4.63,499.78,165,94.52,3.35,2.34,2.85,0.02,4,13,37,268,806.59,3625.39,MEDIUM,1,0,1,0
MF36,2,50.4,main,riffle,19.6,653.26,340,0,0.39,2.45,0.86,1.03,988.09,710.04,0.67,1.42,1.39,402.23,289.61,3.79,2.63,3.21,0.04,2,12,32,92.19,1107.94,3178.8,MEDIUM,0,0,1,0
MF40,0,59.5,main,pool,12,698.82,334.61,1.00E-03,0.4,2.47,0.87,1.02,420.01,420.01,0.67,1.47,14.44,169.5,169.6,3.15,2.19,2.67,0.02,4,14,30,541.45,1640.59,2824.6,MEDIUM,1,1,0,0
MF41,5,45.6,main,riffle,17.8,698.83,334.1,5.00E-03,0.39,2.43,0.87,1.01,310.73,310.73,1.51,3.22,158.02,127.59,127.57,3.15,2.19,2.67,0.03,4,14,30,541.45,1640.59,2824.6,SMALL,0,0,1,0
MF45,8,7.5,main,riffle,13.8,703.95,325.56,6.00E-03,0.4,2.48,0.87,1.09,586.8,463.2,1.66,3.63,213.89,235.86,186.05,3.15,2.19,2.67,0.04,5,15,29,763.04,1877,3460.05,SMALL,0,0,1,0
MF46,4,2.8,secondary,riffle,17.4,704.05,324.8,0,0.4,2.47,0.87,1.27,74.4,67.26,0.67,1.47,1.44,30.11,27.24,3.15,2.19,2.67,0.04,5,15,29,763.04,1877,3460.05,SMALL,0,0,1,0
MF50,0,13,main,riffle,22,727.57,319.4,8.00E-03,0.41,2.5,0.88,1,497.27,115.45,1.93,4.3,337.16,198.33,46.02,2.3,1.59,1.95,0.05,1,13,25,13,1476.55,3192.05,SMALL,0,0,1,0
MF54,0,23.8,main,riffle,16.4,733.36,313.49,3.00E-03,0.39,2.45,0.88,1.01,219.56,217.64,1.17,2.57,75.68,89.37,88.79,3.41,2.39,2.9,0.04,3,13,23,309.29,1627.05,2955.35,SMALL,0,0,1,0
MF61,5,23.8,main,riffle,16.7,875.75,296.84,5.00E-03,0.4,2.48,0.93,1.01,792.69,788.59,1.55,3.6,176.63,319.39,318.09,3.27,2.23,2.75,0.04,1,9,33,23.79,399.1,5961.25,SMALL,0,0,1,0
MF62,5,31.2,secondary,riffle,22,875.98,296.43,0,0.4,2.46,0.93,1.02,400.71,298.01,0.69,1.59,1.56,162.85,120.52,4.34,2.97,3.66,0.04,3,9,31,76.05,399.1,5700.94,SMALL,0,0,1,0
MF65,25,217.6,main,riffle,23.1,910.59,293.85,0,0.4,2.46,0.94,1.06,1037.85,1033.96,0.69,1.62,1.59,420.66,418.9,3.57,2.49,3.03,0.03,6,14,31,339.3,1210.65,5819.14,LARGE,0,0,1,0
MF68,1,12,main,riffle,19,911.59,290.76,0,0.41,2.51,0.94,1,471.63,415.16,0.7,1.66,1.63,187.5,164.12,3.57,2.49,3.03,0.05,5,14,32,299.25,1210.65,6023.14,SMALL,1,0,0,1
MF69,1,4.8,main,pool,20.2,911.67,289.6,1.00E-03,0.4,2.48,0.94,1.01,246.15,237.81,0.69,1.63,16.04,99.23,96.21,3.57,2.49,3.03,0.05,3,16,31,20.39,2100.3,5914.85,SMALL,0,0,1,0
MF72,0,8.4,secondary,riffle,16,913.99,283.8,3.00E-03,0.4,2.47,0.94,1.01,667.01,542.04,1.2,2.83,83.21,269.57,219.49,3.57,2.49,3.03,0.05,5,22,33,811.54,4805.75,6731.64,SMALL,0,0,1,0
MF71,0,276.5,main,run,14.2,913.87,284.24,8.00E-03,0.39,2.45,0.94,1.03,769.26,748.65,1.97,4.58,359.28,312.95,304.91,3.57,2.49,3.03,0.04,4,22,33,580.34,4805.75,6731.64,LARGE,1,1,0,1
MF76,0,756,main,pool,20.4,928.29,283.03,2.00E-03,0.4,2.47,0.94,1.01,684.18,683.93,0.98,2.32,45.55,276.6,276.39,4.5,3.12,3.81,0.04,7,19,33,3440.64,4715.29,6731.64,LARGE,0,0,1,0
MF81,0,24.5,secondary,riffle,17.2,928.39,279.58,0,0.39,2.45,0.94,1.18,1108.8,1104.46,0.69,1.62,1.59,451.26,453.86,4.5,3.12,3.81,0.05,6,19,41,394.29,5200.1,8172.79,SMALL,1,0,0,1
MF82,0,106.4,main,riffle,19.5,928.39,279.58,0,0.39,2.45,0.94,1.18,1108.8,1104.46,0.69,1.62,1.59,451.26,453.86,4.5,3.12,3.81,0.05,6,19,41,394.29,5200.1,8172.79,MEDIUM,1,0,0,1
MF85,0,128,main,run,27.2,928.39,279.58,0,0.39,2.45,0.94,1.18,1108.8,1104.46,0.69,1.62,1.59,451.26,453.86,4.5,3.12,3.81,0.05,6,19,41,394.29,5200.1,8172.79,MEDIUM,0,1,0,0
MF86,17,167.2,main,pool,16.8,928.46,276.88,4.00E-03,0.39,2.43,0.94,1.1,1120.32,1116.73,1.39,3.22,126.45,459.54,457.04,4.5,3.12,3.81,0.03,1,19,48,167.19,5200.1,19036.34,LARGE,1,1,1,0
MF89,17,166.4,main,run,20.1,1343.85,266.34,0,0.41,2.51,1.05,1.07,703.52,703.52,0.73,1.94,1.9,279.29,279.13,4.32,3.03,3.68,0.08,5,24,52,1132.44,14185.75,19949.75,LARGE,0,0,1,0
MF92,1,731.25,main,pool,26,1343.9,265.28,1.00E-03,0.44,2.58,1.05,1,390.28,390.28,0.73,2.01,19.71,150.69,151.09,4.32,3.03,3.68,0.05,5,24,52,1132.44,14185.75,19949.75,LARGE,0,0,1,0
MF93,4,135,main,run,14.5,1343.9,265.28,1.00E-03,0.44,2.58,1.05,1,390.28,390.28,0.73,2.01,19.71,150.69,151.09,4.32,3.03,3.68,0.05,5,24,52,1132.44,14185.75,19949.75,MEDIUM,0,0,1,0
MF95,0,77,main,riffle,22,1344.17,263.9,3.00E-03,0.41,2.5,1.05,1,443.34,417.58,1.26,3.33,98.03,177.11,166.46,4.32,3.03,3.68,0.09,7,26,48,1081.15,14581.75,18391.84,MEDIUM,0,0,1,1
MF96,0,93.6,main,pool,22.2,1344.18,263.47,4.00E-03,0.44,2.59,1.05,1.01,846.39,783.08,1.47,4.02,157.77,326.77,303.14,4.32,3.03,3.68,0.09,7,26,48,1081.15,14581.75,18391.84,MEDIUM,0,0,1,0
MF98,5,228,main,riffle,23.5,1344.18,263.47,4.00E-03,0.44,2.59,1.05,1.01,846.39,783.08,1.47,4.02,157.77,326.77,303.14,4.32,3.03,3.68,0.09,7,26,48,1081.15,14581.75,18391.84,LARGE,1,0,0,1
MF103,3,10500,secondary,riffle,17,1355.96,259.45,0,0.43,2.56,1.05,1.08,1228.75,1107.04,0.73,1.99,1.95,479.07,431.19,5.1,3.7,4.4,0.08,9,29,78,10918.54,14409.25,19888.25,LARGE,0,0,1,0
MF104,1,47.5,secondary,riffle,9,1355.96,259.45,0,0.43,2.56,1.05,1.08,1228.75,1107.04,0.73,1.99,1.95,479.07,431.19,5.1,3.7,4.4,0.08,9,29,75,10918.54,14409.25,19626.25,SMALL,1,0,0,1
MF105,44,76.95,main,run,9,1355.96,259.45,0,0.43,2.56,1.05,1.08,1228.75,1107.04,0.73,1.99,1.95,479.07,431.19,5.1,3.7,4.4,0.08,9,29,78,10918.54,14409.25,19888.25,MEDIUM,0,1,0,0
MF112,49,252,main,riffle,31.8,1370.55,256.82,0,0.42,2.53,1.06,1.03,736.75,730.23,0.73,1.96,1.92,291.16,288.49,5.27,3.72,4.5,0.08,3,28,84,600,13617.2,20168.8,LARGE,0,0,1,0
MF114,1,48,main,riffle,21.7,1376.01,255.88,7.00E-03,0.42,2.54,1.06,1.04,987.58,875.3,1.94,5.24,359.9,388.32,344.44,5.12,3.59,4.36,0.06,3,24,81,172.8,12679.34,19827.17,SMALL,0,0,1,0
MF117,27,126,main,riffle,44,1379.13,253.66,0,0.43,2.55,1.06,1.05,1084.69,720.79,0.73,2,1.96,424.01,281.75,5.12,3.59,4.36,0.06,2,23,88,233.1,12319.34,19828,MEDIUM,0,0,1,1
MF118,5,90,main,run,35.4,1380.28,252.2,7.00E-03,0.42,2.54,1.06,1.09,448.74,382.14,1.94,5.25,360.4,176.39,150.08,5.12,3.59,4.36,0.07,3,46,93,308.39,4572.46,20548.46,MEDIUM,0,0,1,0
MF120,0,26.4,secondary,riffle,25.8,1380.34,250.46,2.00E-03,0.44,2.59,1.06,1.01,689.85,342.51,1.04,2.87,56.37,266.26,131.85,5.12,3.59,4.36,0.09,4,46,94,340.39,4572.46,20518.48,SMALL,1,0,1,0
MF121,0,32,main,run,21.5,1384.61,249.74,2.00E-03,0.43,2.57,1.06,1.01,495.44,342.23,1.04,2.85,55.93,192.52,132.74,4.97,3.47,4.22,0.09,3,46,95,250.39,4572.46,22268.35,SMALL,1,0,0,1
MF122,0,22.4,secondary,riffle,19.7,1391.48,248.23,2.00E-03,0.43,2.57,1.06,1.01,292.32,292.32,1.04,2.86,56.05,113.58,113.55,4.98,3.49,4.24,0.08,3,46,97,143.3,4127.18,22875.83,SMALL,1,0,1,0
MF127,3,205.2,main,pool,21,1396.53,244.34,3.00E-03,0.44,2.58,1.06,1.02,633.84,609.04,1.28,3.52,103.74,245.16,236.41,4.81,3.36,4.09,0.09,8,47,92,828.52,4128.09,21784.76,LARGE,1,0,1,0
MF128,9,50,main,riffle,33,1397.53,243,0,0.43,2.56,1.06,1.01,565.98,558.2,0.73,2.02,1.98,220.27,217.51,4.81,3.36,4.09,0.12,8,47,86,926.92,4458.09,11135.94,MEDIUM,1,0,0,1
MM83,64,72,main,riffle,46,2294.61,240.6,3.00E-03,0.47,2.69,1.22,1.01,296.58,188.94,1.36,4.5,132.34,110.09,70.16,4.96,3.42,4.19,0.11,1,44,83,72,7227.57,10654.34,MEDIUM,0,0,0,1
MM84,32,24.95,main,pool,31,2294.73,239.1,0,0.47,2.68,1.22,1,635.83,423.39,0.78,2.59,2.54,236.38,157.35,4.96,3.42,4.19,0.13,5,40,79,280.8,6605.7,10183.71,SMALL,0,0,1,0
MM86,117,69.96,main,run,41,2350.62,238.62,0,0.47,2.67,1.23,1.01,811.27,429.02,0.78,2.59,2.53,302.89,160.34,4.96,3.42,4.19,0.12,6,37,79,390.01,6100.78,9885.41,MEDIUM,1,0,0,1
MM87,12,40.09,main,run,44,2350.63,238.5,0,0.48,2.69,1.23,1,605.36,268.31,0.78,2.62,2.57,224.47,99.53,4.5,3.16,3.83,0.16,6,37,79,390.01,6140.49,9885.41,SMALL,1,0,0,1
MM88,92,32.4,main,riffle,53.3,2350.63,238.5,0,0.48,2.69,1.23,1,605.36,268.31,0.78,2.62,2.57,224.47,99.53,4.5,3.16,3.83,0.16,7,37,79,810.01,6140.49,9885.41,SMALL,1,0,0,1
MM89,77,109.2,main,glide,31,2350.71,237.9,0,0.47,2.69,1.23,1.01,715.89,534.21,0.78,2.62,2.57,265.8,198.16,4.5,3.16,3.83,0.16,10,34,76,946.32,6019.71,9613.19,MEDIUM,0,0,1,0
MM91,12,33.25,main,glide,46.3,2350.91,238.42,0,0.48,2.71,1.23,1.04,720.46,715.66,0.79,2.64,2.59,265.66,264.26,4.5,3.16,3.83,0.11,10,27,74,1607.77,5198.39,9479.99,SMALL,0,0,0,1
MM92,173,82.62,main,pool,24,2350.92,238.39,0.01,0.48,2.69,1.23,1.05,248.24,248.24,2.49,8.3,814.3,92.04,91.88,4.5,3.16,3.83,0.1,12,27,75,2748.37,5198.39,9639.99,MEDIUM,1,1,0,1
MM93,0,16,main,pool,26.5,2350.92,238.39,0.01,0.48,2.69,1.23,1.05,248.24,248.24,2.49,8.3,814.3,92.04,91.88,4.5,3.16,3.83,0.1,11,27,74,2714.77,5198.39,9479.99,SMALL,0,0,1,0
MM94,65,29.4,main,run,37,2350.93,237,0.01,0.48,2.71,1.23,1.01,260.95,260.95,2.5,8.39,822.65,96,96.3,4.5,3.16,3.83,0.07,11,27,74,2714.77,5198.39,9479.99,SMALL,0,0,0,1
MM97,0,18.4,main,pool,20.4,2351.03,236.1,0,0.48,2.7,1.23,1.02,497.76,495.6,0.78,2.64,2.58,183.91,183.27,4.5,3.16,3.83,0.15,11,30,71,2813.16,5531.79,9323.87,SMALL,0,0,1,0
MM99,40,202.3,main,riffle,23.7,2351.07,235.79,0,0.48,2.69,1.23,1.02,230.51,230.51,0.78,2.63,2.57,85.4,85.48,4.5,3.16,3.83,0.13,12,30,71,3233.16,5531.79,9323.87,LARGE,0,0,1,0
MM100,109,33.6,main,run,27,2351.25,235.4,0,0.48,2.69,1.23,1.02,307.16,305.46,0.78,2.62,2.57,113.98,113.37,4.5,3.16,3.83,0.16,9,30,68,3572.41,5531.79,9225.95,SMALL,0,0,1,0
MM105,3,61.6,main,riffle,19,2357.67,233.8,3.00E-03,0.5,2.75,1.23,1,517.57,510.63,1.37,4.68,137.84,187.75,185.23,4.9,3.45,4.17,0.15,7,30,62,1932.45,5531.79,8902.65,SMALL,1,0,0,1
MM106,237,96.46,main,riffle,27.3,2357.69,233.7,2.00E-03,0.49,2.72,1.23,1,249.32,216.38,1.11,3.76,73.87,91.51,79.32,4.9,3.45,4.17,0.15,7,29,62,1932.45,5459.79,8902.65,MEDIUM,1,0,0,1
MM107,4,5,main,glide,37.6,2357.89,233,2.00E-03,0.49,2.74,1.23,1,525.95,419.6,1.12,3.81,74.67,191.49,152.84,4.9,3.45,4.17,0.16,5,29,56,303.2,5459.79,8530.48,SMALL,0,0,1,0
MM109,48,105.6,main,glide,38,2370.12,230.3,0,0.49,2.74,1.23,1,703.33,602.55,0.79,2.69,2.64,256.07,219.65,4.89,3.44,4.16,0.18,4,25,45,439,5288.97,8117.81,MEDIUM,0,0,1,0
MM110,17,174,main,glide,39.7,2389.11,230,0,0.49,2.74,1.24,1.01,625.26,516.98,0.79,2.69,2.64,228.19,188.6,4.91,3.47,4.19,0.21,4,19,38,439,4140.7,7373.29,LARGE,1,0,0,1
